Year,Predation,data_aet,data_tmax,data_tmin,data_ws,data_ppt
2011,282,2.833333333,29.40333333,15.73666667,5.093333333,2.933333333
2012,564,2.466666667,29.12333333,14.76666667,5.213333333,2.566666667
2013,428,6.3,29.46,15.52333333,5.313333333,6.666666667
2014,779,7,29.71666667,16.04666667,5.06,7.366666667
2015,452,1.066666667,29.18666667,14.6,5.176666667,1.1
2016,221,7.633333333,30.22666667,15.81333333,4.916666667,7.966666667
2017,92,2.033333333,29.86666667,15.03333333,5.516666667,2.1
2018,205,2.333333333,29.46666667,14.86666667,5.423333333,2.433333333
2019,100,4.1,29.26666667,14.86666667,4.566666667,4.266666667
2020,100,5,28.66666667,14.46666667,4.533333333,5.266666667
2021,100,1.933333333,28.06666667,13.8,5.4,2.066666667
2022,100,6.466666667,28.76666667,14.46666667,4.7,6.8
2023,100,9.066666667,28.53333333,14.16666667,4.966666667,9.533333333
2024,100,1.966666667,29.2,14.83333333,5.2,1.533333333
2025,100,3.3,27.6,13.2,5.5,2.6
