"","Date","Month","X","data_aet","data_tmax","data_tmin","data_ws","data_ppt"
"1","2012-01","2012-01",649,1.4,30.54,16.33,4.74,1.5
"2","2013-01","2013-01",661,1.6,29.49,15.66,5.46,1.7
"3","2013-01","2013-01",661,1.6,29.49,15.66,5.46,1.7
"4","2014-02","2014-02",674,1,30.37,16.53,5.18,1.1
"5","2015-01","2015-01",685,2.3,29.94,15.73,4.66,2.4
"6","2016-01","2016-01",697,18.7,30.1,16.8,4.71,19.6
"7","2016-02","2016-02",698,0.6,30.4,15.7,5.03,0.6
"8","2017-01","2017-01",709,2.2,29,14.6,5.45,2.3
"9","2017-02","2017-02",710,1.1,30.2,15.4,5.66,1.1
"10","2018-01","2018-01",721,1.2,29.8,15.6,5.2,1.2
"11","2018-02","2018-02",722,4.3,29.9,15,5.3,4.5
"12","2019-01","2019-01",733,4.9,28.7,14.5,4.4,5.1
"13","2019-02","2019-02",734,4.7,30,15.5,4.4,4.9
"14","2020-01","2020-01",745,5.2,28.5,14.4,4.5,5.5
"15","2020-02","2020-02",746,2.2,29.9,15.4,5.1,2.3
"16","2020-12","2020-12",756,1.2,27.3,13.1,5.3,1.3
"17","2021-01","2021-01",757,2.9,28.6,14.5,5.1,3.1
"18","2021-02","2021-02",758,1.7,28.3,13.8,5.8,1.8
"19","2022-01","2022-01",769,1.4,29.7,15.6,4.4,1.5
"20","2022-02","2022-02",770,2.3,29.2,14.6,4.6,2.4
"21","2022-12","2022-12",780,17.1,28.1,13.7,5.1,18
"22","2023-01","2023-01",781,2.2,28.1,14,4.7,2.3
"23","2023-02","2023-02",782,7.9,29.4,14.8,5.1,8.3
"24","2023-12","2023-12",792,1.6,27.7,13.3,5.9,1
"25","2024-01","2024-01",793,2.1,29.9,15.8,4.5,1.7
"26","2024-02","2024-02",794,2.2,30,15.4,5.2,1.9
"27","2024-12","2024-12",804,3.3,27.6,13.2,5.5,2.6
"28","2025-01",NA,NA,NA,NA,NA,NA,NA
"29","2025-02",NA,NA,NA,NA,NA,NA,NA
