"","Date","Month","X","data_aet","data_tmax","data_tmin","data_ws","data_ppt","norm_tmax"
"1","2011-03","2011-03",639,6.2,29.3,15.66,4.62,6.5,1.12795082744292
"2","2012-01","2012-01",649,1.4,30.54,16.33,4.74,1.5,1.45096676878916
"3","2012-02","2012-02",650,1.7,29.61,14.81,5.26,1.7,1.20870481277948
"4","2012-03","2012-03",651,6.4,29.04,15.12,5.07,6.7,1.06022167845097
"5","2012-04","2012-04",652,32.2,26.44,11.77,4.84,33.9,0.382930188531432
"6","2012-05","2012-05",653,8.4,22.49,9.64,2.89,8.8,-0.646031882692482
"7","2012-06","2012-06",654,44.9,20.03,8.44,3.42,47.3,-1.28685383084712
"8","2012-07","2012-07",655,24,17.93,6.42,3.52,25.2,-1.83389695732059
"9","2012-08","2012-08",656,58.2,18.57,7.29000000000001,4.09,61.3,-1.66717905210963
"10","2012-09","2012-09",657,19.5,20.93,8.17,3.99,20.5,-1.0524067766442
"11","2012-10","2012-10",658,6.7,23.85,10.81,5.51,7.1,-0.291756334119185
"12","2012-11","2012-11",659,9.1,27.6,12.9,5.31,9.6,0.685106391726302
"13","2012-12","2012-12",660,14.3,29.12,15.68,5.07,15.1,1.08106141660234
"14","2013-01","2013-01",661,1.6,29.49,15.66,5.46,1.7,1.17744520555243
"15","2013-01","2013-01",661,1.6,29.49,15.66,5.46,1.7,1.17744520555243
"16","2013-02","2013-02",662,3,29.77,15.23,5.41,3.2,1.25038428908222
"17","2013-03","2013-03",663,10.7,30.17,15.26,5.24,11.3,1.35458297983908
"18","2013-03","2013-03",663,10.7,30.17,15.26,5.24,11.3,1.35458297983908
"19","2013-04","2013-04",664,17.4,25.84,11.28,4.37,18.3,0.226632152396153
"20","2013-05","2013-05",665,20,23.9,11.08,2.96,21.1,-0.278731497774579
"21","2013-06","2013-06",666,60.9,19.36,7.43000000000001,4.07,64.2,-1.46138663786485
"22","2013-07","2013-07",667,18.2,20.18,8.63,3.39,19.1,-1.2477793218133
"23","2013-07","2013-07",667,18.2,20.18,8.63,3.39,19.1,-1.2477793218133
"24","2013-08","2013-08",668,60.1,18.6,7.86,4.41,63.3,-1.65936415030287
"25","2013-10","2013-10",670,5.7,24.36,11.23,5.02,5.9,-0.158903003404199
"26","2013-11","2013-11",671,4,27.33,13.3,5.47,4.2,0.614772275465427
"27","2013-12","2013-12",672,6,29.12,15.25,5.48,6.3,1.08106141660234
"28","2014-02","2014-02",674,1,30.37,16.53,5.18,1.1,1.4066823252175
"29","2014-04","2014-04",676,8,27.1,12.86,4.28,8.5,0.554858028280237
"30","2014-05","2014-05",677,18.9,23.63,11.58,3.45,19.9,-0.349065614035454
"31","2014-06","2014-06",678,47.4,20.13,8.27,3.71,49.9,-1.26080415815791
"32","2014-07","2014-07",679,45.2,19.3,7.95,3.7,47.6,-1.47701644147838
"33","2014-08","2014-08",680,38.4,20.74,9.59,3.89,40.5,-1.10190115475371
"34","2014-08","2014-08",680,38.4,20.74,9.59,3.89,40.5,-1.10190115475371
"35","2014-09","2014-09",681,11.2,23.12,9.2,4.1,11.8,-0.48191894475044
"36","2014-10","2014-10",682,0.6,26.65,11.94,4.89,0.6,0.437634501178778
"37","2014-11","2014-11",683,14.7,26.24,12.98,5.1,15.5,0.330830843153005
"38","2014-12","2014-12",684,0.7,28.69,14.25,5.65,0.7,0.969047824038724
"39","2015-01","2015-01",685,2.3,29.94,15.73,4.66,2.4,1.29466873265389
"40","2015-03","2015-03",687,1.2,29.82,15.02,4.6,1.3,1.26340912542683
"41","2015-04","2015-04",688,3,25.71,11.93,4.41,3.2,0.192767577900177
"42","2015-05","2015-05",689,4.5,24.33,10.91,2.74,4.7,-0.166717905210963
"43","2015-06","2015-06",690,61.1,19.64,8.41,3.41,66.3,-1.38844755433505
"44","2015-07","2015-07",691,30.5,18.6,8.06,3.61,31.9,-1.65936415030287
"45","2015-08","2015-08",692,54.7,19.79,7.54000000000001,3.66,57.4,-1.34937304530123
"46","2015-09","2015-09",693,5.1,22.83,10.2,4.44,5.3,-0.557462995549158
"47","2015-10","2015-10",694,1.2,26.46,12.46,4.65,1.1,0.388140123069274
"48","2015-11","2015-11",695,7,26.83,12.37,5.5,7.2,0.484523912019362
"49","2015-12","2015-12",696,3.6,30.18,14.94,5.01,3.7,1.357187947108
"50","2016-01","2016-01",697,18.7,30.1,16.8,4.71,19.6,1.33634820895663
"51","2016-02","2016-02",698,0.6,30.4,15.7,5.03,0.6,1.41449722702427
"52","2016-03","2016-03",699,6.6,28.5,14.1,4.91,6.9,0.919553445929219
"53","2016-04","2016-04",700,17.4,26.7,13,4.47,18.3,0.450659337523385
