Date,Month,X,norm_aet,norm_tmax,norm_tmin,norm_ws,norm_ppt,norm_pred
Jan-12,Jan-12,649,-0.52555551,1.37803003,1.365250668,-0.778325871,-0.482279093,2.168921805
Jan-13,Jan-13,661,-0.478587529,0.33500208,0.741970112,0.848445319,-0.437949161,1.38189194
Jan-13,Jan-13,661,-0.478587529,0.33500208,0.741970112,0.848445319,-0.437949161,1.38189194
Feb-14,Feb-14,674,-0.619491471,1.209158839,1.551304566,0.215812078,-0.570938958,3.41312343
Jan-15,Jan-15,685,-0.314199596,0.782014059,0.807088976,-0.959078226,-0.282794397,1.520779564
Jan-16,Jan-16,697,3.537174831,0.940951651,1.802477328,-0.846108004,3.529579797,0.18398619
Feb-16,Feb-16,698,-0.713427433,1.238959637,0.779180891,-0.123098586,-0.681763789,0.18398619
Jan-17,Jan-17,709,-0.337683586,-0.151744296,-0.244115545,0.825851275,-0.304959363,-0.562534784
Feb-17,Feb-17,710,-0.596007481,1.040287647,0.500100045,1.300326205,-0.570938958,-0.562534784
Jan-18,Jan-18,721,-0.57252349,0.642943666,0.686153943,0.261000167,-0.548773992,0.091394442
Feb-18,Feb-18,722,0.155480212,0.742279661,0.12799225,0.48694061,0.182669894,0.091394442
Jan-19,Jan-19,733,0.296384155,-0.449752282,-0.337142494,-1.546523378,0.315659692,-0.51623891
Feb-19,Feb-19,734,0.249416174,0.841615656,0.593126994,-1.546523378,0.271329759,-0.51623891
Jan-20,Jan-20,745,0.366836126,-0.648424272,-0.430169442,-1.320582935,0.404319557,-0.51623891
Feb-20,Feb-20,746,-0.337683586,0.742279661,0.500100045,0.035059724,-0.304959363,-0.51623891
Dec-20,Dec-20,756,-0.57252349,-1.840456215,-1.639519776,0.48694061,-0.526609026,-0.51623891
Jan-21,Jan-21,757,-0.173295653,-0.549088277,-0.337142494,0.035059724,-0.127639633,-0.51623891
Feb-21,Feb-21,758,-0.455103538,-0.847096263,-0.988331135,1.616642825,-0.415784194,-0.51623891
Jan-22,Jan-22,769,-0.52555551,0.54360767,0.686153943,-1.546523378,-0.482279093,-0.51623891
Feb-22,Feb-22,770,-0.314199596,0.046927694,-0.244115545,-1.094642491,-0.282794397,-0.51623891
Dec-22,Dec-22,780,3.161430985,-1.045768253,-1.081358083,0.035059724,3.174940337,-0.51623891
Jan-23,Jan-23,781,-0.337683586,-1.045768253,-0.802277237,-0.868702048,-0.304959363,-0.51623891
Feb-23,Feb-23,782,1.000903867,0.245599685,-0.058061647,0.035059724,1.024938612,-0.51623891
Dec-23,Dec-23,792,-0.478587529,-1.443112234,-1.453465878,1.842583269,-0.593103924,-0.51623891
Jan-24,Jan-24,793,-0.361167577,0.742279661,0.87220784,-1.320582935,-0.437949161,-0.51623891
Feb-24,Feb-24,794,-0.337683586,0.841615656,0.500100045,0.261000167,-0.393619228,-0.51623891
Dec-24,Dec-24,804,-0.079359692,-1.542448229,-1.546492827,0.938821496,-0.238464464,-0.51623891
Jan-25,NA,804,-0.079359692,-1.542448229,-1.546492827,0.938821496,-0.238464464,-0.51623891
Feb-25,NA,804,-0.079359692,-1.542448229,-1.546492827,0.938821496,-0.238464464,-0.51623891
