"","StartDate","TimeStart","TimeEnd","Count","Pairs","X","Y"
"1",2012-01-23,08:00:00,09:30:00,18000,8000,18.30181,-32.089261
"2",2013-01-25,10:00:00,10:30:00,19000,8500,18.30181,-32.089261
"3",2013-01-28,08:00:00,09:00:00,18000,8000,18.30181,-32.089261
"4",2014-02-27,11:15:00,12:30:00,17000,8000,18.30181,-32.089261
"5",2015-01-06,12:30:00,13:45:00,8000,7000,18.30181,-32.089261
"6",2016-01-06,11:30:00,12:30:00,22000,7500,18.30181,-32.089261
"7",2016-02-03,14:00:00,15:00:00,20000,7500,18.30181,-32.089261
"8",2017-01-26,09:00:00,10:00:00,19000,0,18.30181,-32.089261
"9",2017-02-17,08:00:00,09:00:00,19000,7500,18.30181,-32.089261
"10",2018-01-12,10:00:00,11:00:00,23000,7000,18.30181,-32.089261
"11",2018-02-06,10:00:00,11:00:00,18000,7000,18.30181,-32.089261
"12",2019-01-17,10:30:00,11:30:00,20000,6000,18.30181,-32.089261
"13",2019-02-15,11:00:00,12:00:00,20000,7000,18.30181,-32.089261
"14",2020-01-22,12:00:00,13:00:00,22000,7000,18.30181,-32.089261
"15",2020-02-14,08:00:00,09:00:00,24000,7000,18.30181,-32.089261
"16",2020-12-23,12:00:00,13:30:00,20000,5000,18.30181,-32.089261
"17",2021-01-13,09:00:00,11:00:00,25000,6000,18.30181,-32.089261
"18",2021-02-09,11:00:00,12:30:00,25000,6000,18.30181,-32.089261
"19",2022-01-27,09:00:00,10:30:00,26000,8000,18.30181,-32.089261
"20",2022-02-25,09:00:00,10:30:00,26000,8000,18.30181,-32.089261
"21",2022-12-28,09:00:00,10:30:00,33000,6000,18.30181,-32.089261
"22",2023-01-25,09:00:00,10:30:00,40000,6000,18.30181,-32.089261
"23",2023-02-28,08:30:00,10:00:00,22000,8000,18.30181,-32.089261
"24",2023-12-04,10:00:00,11:00:00,35000,6000,18.30181,-32.089261
"25",2024-01-19,09:00:00,10:00:00,40000,7000,18.30181,-32.089261
"26",2024-02-23,11:00:00,12:00:00,36000,8000,18.30181,-32.089261
"27",2024-12-19,09:00:00,10:00:00,40000,8000,18.30181,-32.089261
"28",2025-01-06,08:00:00,09:00:00,42000,8000,18.30181,-32.089261
"29",2025-02-28,08:30:00,09:30:00,36000,9000,18.30181,-32.089261
