"","StartDate","TimeStart","TimeEnd","Count","Pairs","X","Y"
"1",2011-03-16,08:30:00,09:30:00,1,0,18.30181,-32.089261
"2",2012-01-23,08:00:00,09:30:00,5,0,18.30181,-32.089261
"3",2012-02-24,09:00:00,10:00:00,5,0,18.30181,-32.089261
"4",2012-03-27,09:00:00,10:30:00,6,0,18.30181,-32.089261
"5",2012-04-27,09:00:00,10:00:00,2,0,18.30181,-32.089261
"6",2012-05-31,09:00:00,10:00:00,6,3,18.30181,-32.089261
"7",2012-06-28,09:00:00,10:45:00,4,0,18.30181,-32.089261
"8",2012-07-27,08:30:00,09:30:00,6,0,18.30181,-32.089261
"9",2012-08-31,12:30:00,13:30:00,8,0,18.30181,-32.089261
"10",2012-09-27,10:00:00,11:00:00,6,0,18.30181,-32.089261
"11",2012-10-27,09:00:00,10:00:00,6,2,18.30181,-32.089261
"12",2012-11-27,07:30:00,08:30:00,2,0,18.30181,-32.089261
"13",2012-12-23,08:30:00,09:35:00,3,0,18.30181,-32.089261
"14",2013-01-25,10:00:00,10:30:00,12,0,18.30181,-32.089261
"15",2013-01-28,08:00:00,09:00:00,7,0,18.30181,-32.089261
"16",2013-02-28,08:00:00,09:00:00,2,0,18.30181,-32.089261
"17",2013-03-14,08:00:00,08:55:00,8,0,18.30181,-32.089261
"18",2013-03-21,08:50:00,09:55:00,6,0,18.30181,-32.089261
"19",2013-04-14,09:00:00,10:00:00,6,0,18.30181,-32.089261
"20",2013-05-28,09:00:00,10:00:00,12,1,18.30181,-32.089261
"21",2013-06-14,08:40:00,09:40:00,3,0,18.30181,-32.089261
"22",2013-07-25,10:00:00,11:00:00,5,0,18.30181,-32.089261
"23",2013-07-30,09:00:00,10:00:00,3,0,18.30181,-32.089261
"24",2013-08-23,09:00:00,09:55:00,2,0,18.30181,-32.089261
"25",2013-10-30,09:15:00,10:15:00,4,0,18.30181,-32.089261
"26",2013-11-28,09:00:00,10:00:00,4,0,18.30181,-32.089261
"27",2013-12-26,09:00:00,10:05:00,5,0,18.30181,-32.089261
"28",2014-02-27,11:15:00,12:30:00,6,0,18.30181,-32.089261
"29",2014-04-24,09:00:00,10:00:00,3,0,18.30181,-32.089261
"30",2014-05-10,08:00:00,08:45:00,7,0,18.30181,-32.089261
"31",2014-06-05,09:00:00,10:00:00,8,0,18.30181,-32.089261
"32",2014-07-15,10:00:00,11:00:00,7,0,18.30181,-32.089261
"33",2014-08-26,NA,NA,5,NA,18.30181,-32.089261
"34",2014-08-26,11:00:00,12:00:00,5,0,18.30181,-32.089261
"35",2014-09-19,09:00:00,10:15:00,7,0,18.30181,-32.089261
"36",2014-10-24,11:00:00,12:05:00,6,0,18.30181,-32.089261
"37",2014-11-21,09:00:00,10:00:00,4,0,18.30181,-32.089261
"38",2014-12-18,10:00:00,11:30:00,5,1,18.30181,-32.089261
"39",2015-01-06,12:30:00,13:45:00,6,1,18.30181,-32.089261
"40",2015-03-27,08:30:00,09:30:00,6,0,18.30181,-32.089261
"41",2015-04-24,08:30:00,09:30:00,6,0,18.30181,-32.089261
"42",2015-05-29,08:00:00,09:00:00,6,0,18.30181,-32.089261
"43",2015-06-26,08:00:00,09:00:00,7,0,18.30181,-32.089261
"44",2015-07-22,10:00:00,11:00:00,7,0,18.30181,-32.089261
"45",2015-08-31,12:00:00,13:00:00,6,0,18.30181,-32.089261
"46",2015-09-16,08:00:00,09:00:00,4,0,18.30181,-32.089261
"47",2015-10-23,08:00:00,09:00:00,6,0,18.30181,-32.089261
"48",2015-11-30,11:00:00,12:00:00,6,0,18.30181,-32.089261
"49",2015-12-08,08:00:00,09:00:00,7,0,18.30181,-32.089261
"50",2016-01-06,11:30:00,12:30:00,5,0,18.30181,-32.089261
"51",2016-02-03,14:00:00,15:00:00,8,0,18.30181,-32.089261
"52",2016-03-10,08:00:00,09:00:00,6,0,18.30181,-32.089261
"53",2016-04-12,01:03:00,11:30:00,6,0,18.30181,-32.089261
"54",2016-06-15,08:00:00,09:00:00,6,0,18.30181,-32.089261
"55",2016-08-16,10:00:00,11:00:00,6,0,18.30181,-32.089261
"56",2016-09-27,08:00:00,09:00:00,6,0,18.30181,-32.089261
"57",2016-10-20,08:00:00,09:00:00,8,0,18.30181,-32.089261
"58",2016-11-23,08:00:00,09:00:00,8,2,18.30181,-32.089261
"59",2016-12-22,07:00:00,08:00:00,8,0,18.30181,-32.089261
"60",2017-01-26,09:00:00,10:00:00,6,0,18.30181,-32.089261
"61",2017-02-17,08:00:00,09:00:00,8,0,18.30181,-32.089261
"62",2017-03-09,07:45:00,09:15:00,8,0,18.30181,-32.089261
"63",2017-04-11,09:00:00,10:00:00,6,0,18.30181,-32.089261
"64",2017-05-10,08:00:00,09:00:00,6,0,18.30181,-32.089261
"65",2017-06-13,08:00:00,09:00:00,6,0,18.30181,-32.089261
"66",2017-07-11,08:00:00,09:00:00,6,0,18.30181,-32.089261
"67",2017-08-10,08:00:00,09:00:00,10,0,18.30181,-32.089261
"68",2017-09-12,09:00:00,10:00:00,8,0,18.30181,-32.089261
"69",2017-10-05,08:00:00,09:00:00,8,0,18.30181,-32.089261
"70",2017-11-09,11:00:00,12:00:00,6,2,18.30181,-32.089261
"71",2017-12-07,08:00:00,09:00:00,6,0,18.30181,-32.089261
"72",2018-01-12,10:00:00,11:00:00,8,3,18.30181,-32.089261
"73",2018-02-06,10:00:00,11:00:00,8,0,18.30181,-32.089261
"74",2018-03-14,10:00:00,11:00:00,8,0,18.30181,-32.089261
"75",2018-04-14,09:00:00,10:00:00,6,0,18.30181,-32.089261
"76",2018-04-17,09:00:00,10:00:00,6,0,18.30181,-32.089261
"77",2018-05-09,08:30:00,09:30:00,10,0,18.30181,-32.089261
"78",2018-06-22,09:00:00,10:00:00,6,0,18.30181,-32.089261
"79",2018-07-24,08:00:00,09:00:00,10,0,18.30181,-32.089261
"80",2018-08-14,09:00:00,10:00:00,8,0,18.30181,-32.089261
"81",2018-09-14,08:00:00,09:00:00,8,0,18.30181,-32.089261
"82",2018-10-31,14:00:00,15:00:00,8,1,18.30181,-32.089261
"83",2018-11-21,08:30:00,09:30:00,13,4,18.30181,-32.089261
"84",2018-12-28,07:00:00,09:00:00,10,3,18.30181,-32.089261
"85",2019-01-17,10:30:00,11:30:00,8,1,18.30181,-32.089261
"86",2019-02-15,11:00:00,12:00:00,12,2,18.30181,-32.089261
"87",2019-03-07,11:00:00,12:00:00,12,2,18.30181,-32.089261
"88",2019-03-13,13:00:00,14:00:00,8,1,18.30181,-32.089261
"89",2019-04-16,08:00:00,09:00:00,8,1,18.30181,-32.089261
"90",2019-06-26,10:30:00,11:30:00,12,0,18.30181,-32.089261
"91",2019-07-18,09:00:00,10:00:00,8,0,18.30181,-32.089261
"92",2019-08-30,11:00:00,12:00:00,10,0,18.30181,-32.089261
"93",2019-09-30,13:00:00,14:00:00,8,0,18.30181,-32.089261
"94",2019-10-31,10:30:00,11:30:00,12,1,18.30181,-32.089261
"95",2019-11-19,10:30:00,11:30:00,8,0,18.30181,-32.089261
"96",2019-12-27,10:00:00,11:00:00,8,1,18.30181,-32.089261
"97",2020-01-22,12:00:00,13:00:00,8,1,18.30181,-32.089261
"98",2020-02-14,08:00:00,09:00:00,8,2,18.30181,-32.089261
"99",2020-03-20,09:00:00,10:00:00,8,3,18.30181,-32.089261
"100",2020-04-28,11:00:00,12:00:00,10,2,18.30181,-32.089261
"101",2020-05-21,08:00:00,09:00:00,8,0,18.30181,-32.089261
"102",2020-06-15,08:30:00,09:30:00,8,0,18.30181,-32.089261
"103",2020-07-20,08:30:00,09:30:00,8,0,18.30181,-32.089261
"104",2020-08-19,09:30:00,10:30:00,10,0,18.30181,-32.089261
"105",2020-09-18,09:00:00,10:00:00,8,0,18.30181,-32.089261
"106",2020-10-12,08:30:00,09:30:00,8,2,18.30181,-32.089261
"107",2020-11-27,14:00:00,15:00:00,8,2,18.30181,-32.089261
"108",2020-12-23,12:00:00,13:30:00,8,2,18.30181,-32.089261
"109",2021-01-13,09:00:00,11:00:00,8,1,18.30181,-32.089261
"110",2021-02-09,11:00:00,12:30:00,8,0,18.30181,-32.089261
"111",2021-03-30,08:30:00,10:15:00,8,0,18.30181,-32.089261
"112",2021-04-30,09:00:00,11:00:00,8,0,18.30181,-32.089261
"113",2021-05-31,09:00:00,11:00:00,8,0,18.30181,-32.089261
"114",2021-06-11,10:00:00,11:30:00,10,0,18.30181,-32.089261
"115",2021-07-20,12:00:00,13:00:00,10,0,18.30181,-32.089261
"116",2021-08-31,08:30:00,09:30:00,8,0,18.30181,-32.089261
"117",2021-09-30,07:30:00,08:30:00,8,0,18.30181,-32.089261
"118",2021-10-22,08:30:00,10:00:00,8,0,18.30181,-32.089261
"119",2021-11-23,09:00:00,10:30:00,8,1,18.30181,-32.089261
"120",2021-12-20,09:00:00,11:30:00,10,0,18.30181,-32.089261
"121",2022-01-27,09:00:00,10:30:00,10,2,18.30181,-32.089261
"122",2022-02-25,09:00:00,10:30:00,10,0,18.30181,-32.089261
"123",2022-03-24,13:00:00,14:30:00,8,0,18.30181,-32.089261
"124",2022-04-30,08:30:00,09:30:00,10,0,18.30181,-32.089261
"125",2022-05-26,08:00:00,09:00:00,10,0,18.30181,-32.089261
"126",2022-06-30,10:00:00,11:30:00,10,0,18.30181,-32.089261
"127",2022-07-29,09:00:00,10:00:00,8,0,18.30181,-32.089261
"128",2022-08-22,08:30:00,09:30:00,12,0,18.30181,-32.089261
"129",2022-09-27,08:30:00,09:30:00,8,0,18.30181,-32.089261
"130",2022-10-31,10:30:00,11:30:00,8,0,18.30181,-32.089261
